Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Down Town Cafe,"Chinese, Italian, Fast Food, North Indian, Continental, Beverages, Desserts",3.8,₹600 for two,6.4 km,"Gomti Nagar, Lucknow",Lucknow
Fauji Dhaba- Sitapur Road,North Indian,-,₹300 for two,11.3 km,"Jankipuram, Lucknow",Lucknow
Heavens Pizza,"Pizza, Fast Food, Continental, Burger, American, Italian",3.5,₹400 for two,7.1 km,"Gomti Nagar, Lucknow",Lucknow
Mr Bawarchi,North Indian,3.6,₹250 for two,5.3 km,"Gomti Nagar, Lucknow",Lucknow
Mezbaan Mughali Point,"North Indian, Chinese, Mughlai, Fast Food",3,₹400 for two,3.5 km,"Aliganj, Lucknow",Lucknow
Red Dragon,"Chinese, Momos, Shawarma, Fast Food, Street Food, Beverages",3.8,₹350 for two,5.6 km,"Gomti Nagar, Lucknow",Lucknow
Arabecue Pizza,"Pizza, Fast Food",3.8,₹350 for two,4.7 km,"Aliganj, Lucknow",Lucknow
Rajdhani Hotel,"North Indian, Chinese",3.3,₹300 for two,8.9 km,"Kanpur Road, Lucknow",Lucknow
Ksheer Sagar Mishthaan Bhandar,"Mithai, Street Food",3.2,₹400 for two,7.8 km,"Gomti Nagar, Lucknow",Lucknow
UP 32 Veg & Non Veg Point,"Mughlai, North Indian",3.2,₹400 for two,2.7 km,"Indira Nagar, Lucknow",Lucknow
Just Pizza,"Pizza, Italian, Pasta, Mexican",3.7,₹450 for two,14.8 km,"Transport Nagar, Lucknow",Lucknow
Shahi Darbar,"Mughlai, Awadhi, North Indian",3.7,₹400 for two,2.3 km,"Aliganj, Lucknow",Lucknow
Foodies Hub,"North Indian, South Indian, Chinese",3.9,₹300 for two,6 km,"Aashiana, Lucknow",Lucknow
Da Pizza Hub,"Pizza, Pasta, Burger, Fast Food, Beverages, Desserts",3.7,₹300 for two,7.4 km,"Rajajipuram, Lucknow",Lucknow
Sangam Family Restaurant,North Indian,3,₹400 for two,3.5 km,"Aliganj, Lucknow",Lucknow
The Smoke House,"Chinese, Fast Food, Sandwich, Beverages",3.6,₹500 for two,4.9 km,"Indira Nagar, Lucknow",Lucknow
Selffee Chai,"Chinese, Pizza, Burger, Sandwich, Fast Food, Beverages, Tea, Shake",3.3,₹300 for two,7.3 km,"Gomti Nagar, Lucknow",Lucknow
Al-Baike,"North Indian, Fast Food, Burger",3.7,₹400 for two,4.7 km,"Chowk, Lucknow",Lucknow
Burger & Burger,"Burger, Fast Food",3.6,₹300 for two,1.7 km,"Hazratganj, Lucknow",Lucknow
Burritos,"Pizza, North Indian, Chinese, Fast Food, Mexican, Shake",3.7,₹300 for two,3.7 km,"Nirala Nagar, Lucknow",Lucknow
B&C Cafe And Bakery,"Pizza, Bakery",3.5,₹300 for two,6.4 km,"Chowk, Lucknow",Lucknow
Caprice - Radisson Lucknow City Center,"North Indian, Continental, South Indian, Sandwich, Wraps, Fast Food, Salad, Desserts",4.3,"₹1,900 for two",2.5 km,"Aminabad, Lucknow",Lucknow
Chalte Firte Momos & Special Food,"Momos, Chinese, Pasta, North Indian, Street Food, Shake, Beverages",4.1,₹250 for two,4.8 km,"Sahara Plaza, Patkapuram, Gomti Nagar, Lucknow",Lucknow
Jamie's Pizzeria By Jamie Oliver,"Italian, Pizza, Fast Food, Desserts, Coffee, Beverages",4.5,"₹1,200 for two",8.8 km,"Phoenix Plassio Mall, Lucknow",Lucknow
Barkaas Indo-Arabic Restaurant,"Arabian, Mughlai, Kebab, Mandi, Fast Food, Salad, Desserts, Beverages",3,"₹1,300 for two",2.3 km,"Aliganj, Lucknow",Lucknow
Oudhyana - Taj Mahal,"Mughlai, Lucknowi, North Indian",4.9,"₹4,200 for two",2.6 km,"Taj Mahal, Lucknow, Lucknow",Lucknow
Raahe kitchen+coffee bar,"Cafe, Coffee, Continental, Asian, Italian, Fast Food, Desserts, Beverages",New,"₹2,300 for two",6 km,"Gomti Nagar, Lucknow",Lucknow
Sky Bar - Renaissance Lucknow Hotel,"Finger Food, Fast Food, Beverages",4.2,"₹3,500 for two",2.6 km,"Renaissance Lucknow Hotel, Lucknow",Lucknow
Laxmi Shudh Shakahari Bhojanalya,North Indian,3.2,₹250 for two,3.1 km,"Khurram Nagar, Lucknow",Lucknow
The Sky Kitchen,"North Indian, Mughlai",3.3,₹350 for two,7.7 km,"Gomti Nagar, Lucknow",Lucknow
Pizza Spot's,"Pizza, Fast Food, Beverages",3.1,₹400 for two,6.3 km,"Aliganj, Lucknow",Lucknow
Hot Pizza Lovers,Pizza,3.5,₹400 for two,18.6 km,"Kanpur Road, Lucknow",Lucknow
Laxmi Fast Food Restaurant,"South Indian, Chinese, North Indian, Fast Food, Beverages",3.1,₹300 for two,5.9 km,"Aliganj, Lucknow",Lucknow
Bhukkad Point,"Burger, Momos, Pizza, Street Food",3.4,₹300 for two,7.8 km,"Alambagh, Lucknow",Lucknow
Shawarma Hut,"Shawarma, Sandwich, Rolls, Fast Food",3.3,₹300 for two,5.5 km,"Gomti Nagar, Lucknow",Lucknow
Testy Point,"North Indian, Chinese",3.2,₹350 for two,7.5 km,"Gomti Nagar, Lucknow",Lucknow
The Fresh Factory,"Cafe, Italian, Salad, Continental, Healthy Food, Pizza, Pasta, Beverages",4.3,"₹1,200 for two",6 km,"Gomti Nagar, Lucknow",Lucknow
Kasim Biryani,"Mughlai, North Indian",2.8,₹400 for two,3.1 km,"Indira Nagar, Lucknow",Lucknow
Comesum,"North Indian, Chinese, Fast Food, South Indian, Desserts",2.5,₹350 for two,4.4 km,"Charbagh, Lucknow",Lucknow
Ramen,"Chinese, Momos, Fast Food, Beverages",-,₹450 for two,5.9 km,"Chowk, Lucknow",Lucknow
Desi Kitchen,Chinese,2.8,₹300 for two,5.2 km,"Gomti Nagar, Lucknow",Lucknow
Melting Point- Dayal Paradise,"Cafe, Beverages, Italian",3.8,₹800 for two,4.7 km,"Hotel Dayal Paradise, Gomti Nagar, Lucknow",Lucknow
Cafe Repertwahr,"Chinese, Continental, Sandwich, Burger, Pizza, North Indian, Coffee, Desserts",4.2,"₹1,100 for two",2.6 km,"Indira Nagar, Lucknow",Lucknow
Marksmen,"Chinese, South Indian, Fast Food, Burger, Continental, Desserts, Beverages",3.9,₹600 for two,1.8 km,"Lalbagh, Lucknow",Lucknow
Rollarappaa,Rolls,-,₹400 for two,4.2 km,"Aliganj, Lucknow",Lucknow
The Belgian Waffle Co.,"Waffle, Pancake, Desserts, Ice Cream, Beverages",-,₹300 for two,5.2 km,"Indira Nagar, Lucknow",Lucknow
The Happy Plates,"Chinese, Sandwich, Fast Food, Street Food, Pizza, Momos, Desserts, Beverages",3.8,₹650 for two,2.2 km,"Aliganj, Lucknow",Lucknow
Tunday Kababi - Since 1905,"Kebab, Biryani, Awadhi, North Indian, Desserts",4.4,₹300 for two,4.3 km,"Chowk, Lucknow",Lucknow
Plum,"North Indian, Mughlai, Continental, Italian, Oriental, Fast Food, Seafood, Desserts",3.9,"₹3,000 for two",10.8 km,"Gomti Nagar, Lucknow",Lucknow
Friends Bar And Restaurant,"Chinese, North Indian, Salad, Biryani, Mughlai, Bar Food, Kebab",-,"₹1,600 for two",2 km,"Lalbagh, Lucknow",Lucknow
Birthday Cake 24*7 Hours,Bakery,-,₹300 for two,6.7 km,"Shekhpur, Lucknow",Lucknow
Naushijaan,"Biryani, Kebab",-,₹300 for two,3.2 km,"Husain Ganj, Lucknow",Lucknow
The Belgian Waffle Co.,"Waffle, Pancake, Desserts, Ice Cream, Beverages",-,₹300 for two,1.2 km,"Sapru Marg, Lucknow",Lucknow
Pavillion - La Place Sarovar Portico,"North Indian, Mughlai, Chinese, Seafood, Continental, Fast Food, Desserts, Beverages",4,"₹2,800 for two",1.3 km,"La Place Sarovar Portico, Hazratganj, Lucknow",Lucknow
Melting Point,"Cafe, Coffee, Sandwich, Pizza, Fast Food, Bakery",3.9,₹850 for two,6 km,"Gomti Nagar, Lucknow",Lucknow
Kitchen 11,"North Indian, Chinese, Sichuan",3.8,₹350 for two,5.3 km,"Aliganj, Lucknow",Lucknow
Dhindhora Fine Dine Restaurant,"North Indian, Chinese, South Indian, Beverages",4.4,"₹1,000 for two",4 km,"Chowk, Lucknow",Lucknow
Aadab- Dayal Paradise,"North Indian, Continental, Chinese, Sichuan, Desserts, Beverages",4.1,"₹1,400 for two",4.7 km,"Hotel Dayal Paradise, Gomti Nagar, Lucknow",Lucknow
Pizzeria,"North Indian, South Indian, Chinese, Maharashtrian, Burger, Pizza, Beverages, Desserts",New,₹400 for two,5.9 km,"Gomti Nagar, Lucknow",Lucknow
New Balaji Bhojanalay,"North Indian, South Indian, Chinese",-,₹300 for two,6.9 km,"Alambagh, Lucknow",Lucknow
Shaukeens The Bistro,"Chinese, North Indian, Mughlai, Biryani, Beverages",4.2,"₹1,000 for two",4.1 km,"Aliganj, Lucknow",Lucknow
Zaika By Gemini Continental Hotel,"Chinese, Mughlai, North Indian, Continental, Japanese, Beverages",4.2,"₹2,500 for two",1.8 km,"Gemini Continental, Hazratganj, Lucknow",Lucknow
Wichcraft House Of Sandwiches,"Sandwich, Burger, Pizza, North Indian, Continental, Healthy Food, Salad",4.1,₹600 for two,1.1 km,"Nirala Nagar, Lucknow",Lucknow
Al Baik Restaurant,"North Indian, Fast Food",-,₹300 for two,7.9 km,"Chowk, Lucknow",Lucknow
NH-27 Dhaba,"North Indian, Chinese",-,₹350 for two,8.2 km,"Gomti Nagar, Lucknow",Lucknow
Rama Inn Restaurant,"North Indian, Chinese, Mughlai, Biryani, Fast Food",-,"₹1,000 for two",5.9 km,"Indira Nagar, Lucknow",Lucknow
Burger Lane,"Burger, Fast Food, Street Food",-,₹300 for two,9.1 km,"Kanpur Road, Lucknow",Lucknow
Golmo - Street Food Shop,"Street Food, Fast Food, Pizza, Chinese, Burger",-,₹250 for two,6.2 km,"Jankipuram, Lucknow",Lucknow
Soya Chaap 100 % Veg Corner,"North Indian, South Indian, Chinese",-,₹350 for two,3.1 km,"Triveni Nagar, Lucknow",Lucknow
Apna Kalika Family Restaurant,"North Indian, Chinese, Mughlai",-,₹400 for two,8.9 km,"Gomti Nagar, Lucknow",Lucknow
Pizza Italiano,"Pizza, Fast Food, Beverages",-,₹300 for two,2.7 km,"Indira Nagar, Lucknow",Lucknow
Arabecue Fried Chicken,"Fast Food, Biryani, North Indian, Mughlai",-,₹500 for two,4.7 km,"Chowk, Lucknow",Lucknow
UP 32 Nihari Kulcha,"North Indian, Mughlai, Kebab, Rolls, Momos, Chinese",New,₹400 for two,9.2 km,"Aashiana, Lucknow",Lucknow
Lucknow Handi Chicken,"North Indian, Fast Food, Mughlai",-,₹450 for two,4.5 km,"Chowk, Lucknow",Lucknow
My Bar Headquarters,"Asian, North Indian, Fast Food, Italian, European, Chinese, American, Desserts",4,"₹1,200 for two",6 km,"Summit Building, Gomti Nagar, Lucknow",Lucknow
Hudaba Classic,"North Indian, Continental, Italian, Oriental, Chinese, Pizza, Desserts, Coffee",New,"₹1,250 for two",9.8 km,"Gomti Nagar, Lucknow",Lucknow
Om Veg Corner,"South Indian, Rolls, Kebab",-,₹200 for two,3.8 km,"Aishbagh, Lucknow",Lucknow
Wong Shu,"Chinese, Momos",-,₹450 for two,2.2 km,"Indira Nagar, Lucknow",Lucknow
Qasim Alam Muradabadi Biryani,Biryani,New,₹250 for two,2.5 km,"Kaiserbagh, Lucknow",Lucknow
Vivek's,"North Indian, Biryani, Seafood",-,₹450 for two,7.1 km,"Alambagh, Lucknow",Lucknow
Chill Room,"Korean, Chinese, Shake, Beverages",-,₹300 for two,9.6 km,"Transport Nagar, Lucknow",Lucknow
Wow Shake,"Chinese, Fast Food, Biryani, Shake, Beverages",-,₹600 for two,5.3 km,"Jankipuram, Lucknow",Lucknow
Hind Kitchen,"North Indian, South Indian, Chinese, Mughlai, Fast Food, Desserts",-,₹900 for two,3.4 km,"Indira Nagar, Lucknow",Lucknow
Amrit Bakery,Bakery,New,₹850 for two,2.1 km,"Lalbagh, Lucknow",Lucknow
Fukrey Bitezzz,"Chinese, Momos, Wraps, Fast Food, Street Food",-,₹400 for two,9.7 km,"Aashiana, Lucknow",Lucknow
Brij Bakers,"Bakery, Street Food, Fast Food",-,₹600 for two,8.1 km,"Aashiana, Lucknow",Lucknow
New Chay Sutta Bar,"Tea, Street Food",-,₹100 for two,10.6 km,"Aashiana, Lucknow",Lucknow
Bhookhe Ho Kya,"Chinese, Sandwich, Burger, Street Food",-,₹200 for two,6.5 km,"Shekhpur, Lucknow",Lucknow
Annapurna By Anu,"North Indian, Biryani, Chinese, Rolls, Street Food, Beverages",-,₹350 for two,11.2 km,"Transport Nagar, Lucknow",Lucknow
Aryamgarh Family Restaurant,"Street Food, North Indian",-,₹300 for two,4.9 km,"Gomti Nagar, Lucknow",Lucknow
Gourmet Ice Cream Cakes by Baskin Robbins,"Desserts, Ice Cream, Bakery",-,₹300 for two,2.3 km,"Sapru Marg, Lucknow",Lucknow
Lucknow Bakery,"Bakery, Street Food, Fast Food",-,₹500 for two,3 km,"Triveni Nagar, Lucknow",Lucknow
Massey Food World,"Fast Food, North Indian, Street Food, Chinese, Sichuan",-,₹300 for two,3.1 km,"Hazratganj, Lucknow",Lucknow
Sewa Dhaba,North Indian,-,₹200 for two,9 km,"Aliganj, Lucknow",Lucknow
Shake Station,"Shake, Beverages, Fast Food, Sandwich, Desserts",-,₹300 for two,5.3 km,"Jankipuram, Lucknow",Lucknow
Maya Restro Bistro,"Pizza, Burger, Sandwich, Italian, Street Food, Shake",-,₹300 for two,8.9 km,"Alambagh, Lucknow",Lucknow
Baithakk - The Chai Adda,"Tea, Chinese",-,₹350 for two,4.5 km,"Chowk, Lucknow",Lucknow
Raj Darbaar,"Biryani, North Indian, Mughlai, Rolls",-,₹350 for two,4.5 km,"Indira Nagar, Lucknow",Lucknow
Food Galaxy,"North Indian, Mughlai, Biryani, Seafood, Kebab, Rolls",New,₹500 for two,5.1 km,"Khurram Nagar, Lucknow",Lucknow
Grill House,"BBQ, Rolls, Momos",-,₹300 for two,2.9 km,"Indira Nagar, Lucknow",Lucknow
Ka Ka Kulhad Delicacies,"Pizza, Lebanese, Sandwich, Pasta, Biryani, Fast Food, Shake",-,₹350 for two,3.5 km,"Indira Nagar, Lucknow",Lucknow
Purnima Gold Restaurant - Hotel New Ram Krishna,"North Indian, Chinese, Sandwich, Fast Food, Ice Cream, Beverages",-,₹500 for two,1.8 km,"Hazratganj, Lucknow",Lucknow
Special Pizza Day,Pizza,New,₹200 for two,2.9 km,"Khadra, Lucknow",Lucknow
Desi Pakwan,"North Indian, Biryani, Mughlai",-,₹500 for two,4.5 km,"Indira Nagar, Lucknow",Lucknow
Jai Maa Durga Bhojanalya,North Indian,New,₹200 for two,7.3 km,"Gomti Nagar, Lucknow",Lucknow
Al Baik Xpress,"Lucknowi, North Indian",-,₹300 for two,5 km,"Chowk, Lucknow",Lucknow
Romano's Pizza,"Pizza, Fast Food",-,₹350 for two,11.1 km,"Gomti Nagar, Lucknow",Lucknow
Doodle ‘D’ Noodle,"Chinese, North Indian",-,₹450 for two,2.7 km,"Indira Nagar, Lucknow",Lucknow
Purwanchal Food Point,"North Indian, Street Food, Fast Food, Beverages",-,₹400 for two,7.2 km,"Gomti Nagar, Lucknow",Lucknow
The Vyanjan,"North Indian, Fast Food",-,₹250 for two,7.2 km,"Indira Nagar, Lucknow",Lucknow
Mansa Tea Stall,Beverages,-,₹100 for two,8.6 km,"Aashiana, Lucknow",Lucknow
Bacon Babe,"Burger, Fast Food, Beverages",-,₹400 for two,3.9 km,"Indira Nagar, Lucknow",Lucknow
Happy Bakery,"Bakery, Desserts",-,₹200 for two,8.3 km,"Kanpur Road, Lucknow",Lucknow
Al Baike - IFC Fry Chicken,"Fast Food, Burger",New,₹200 for two,30.9 km,"Chowk, Lucknow",Lucknow
Badnaam Shakes,"Cafe, Coffee, Pizza, Sandwich, Burger, Fast Food, Ice Cream, Beverages",-,₹550 for two,4.1 km,"Triveni Nagar, Lucknow",Lucknow
Shri Ghar Ki Rasoi,"North Indian, Street Food, Chinese, South Indian, Sandwich",New,₹300 for two,1.7 km,"Nirala Nagar, Lucknow",Lucknow
Mughlai Darbaar,"North Indian, Chinese, Mughlai, Momos",-,₹400 for two,4.2 km,"Aliganj, Lucknow",Lucknow
Baskin Robbins Happyness Shakes,"Shake, Beverages, Ice Cream, Desserts",-,₹500 for two,2.3 km,"Lalbagh, Lucknow",Lucknow
Sudhir Dhaba,North Indian,-,₹250 for two,7 km,"Jankipuram, Lucknow",Lucknow
Hotel Cristelia,"North Indian, Mughlai, Biryani, Chinese, Desserts, Tea, Beverages",New,"₹1,100 for two",5.1 km,"Gomti Nagar, Lucknow",Lucknow
Chef Baker Factory,"Bakery, Desserts",-,₹300 for two,4.9 km,"Gomti Nagar, Lucknow",Lucknow
B G Restaurants,"North Indian, Fast Food, Pizza, Chinese, Street Food",-,₹450 for two,11.2 km,"Gomti Nagar, Lucknow",Lucknow
Taste Of Awadh,"North Indian, South Indian, Chinese",-,₹300 for two,6.6 km,"Gomti Nagar, Lucknow",Lucknow
Mozzarella House,"Pizza, Fast Food, Beverages",-,₹350 for two,11.1 km,"Hazratganj, Lucknow",Lucknow
Khau Gali,"Lebanese, Sandwich, Fast Food",-,₹250 for two,4.5 km,"Chowk, Lucknow",Lucknow
I T Eating Cafe,"Pizza, Fast Food",-,₹500 for two,2.8 km,"Aliganj, Lucknow",Lucknow
Food O Clock,"Biryani, Mughlai",-,₹400 for two,4.6 km,"Indira Nagar, Lucknow",Lucknow
AN Pizza Club,Pizza,-,₹300 for two,6.4 km,"Jankipuram, Lucknow",Lucknow
Kalika Restaurant,"North Indian, Chinese, Lucknowi, Mughlai, Biryani, Fast Food, Sichuan",-,₹500 for two,12.3 km,"Aashiana, Lucknow",Lucknow
Grilled Sandwich Cafe,"Fast Food, Shake, Sandwich, Beverages",-,₹300 for two,2.7 km,"Aliganj, Lucknow",Lucknow
Snacks & Desserts,"Fast Food, Beverages, Desserts, Bakery",-,₹200 for two,8.3 km,"Aashiana, Lucknow",Lucknow
Gupta Tandoori Soya Chap,"North Indian, Momos, Pasta, Fast Food, Rolls, Chinese",-,₹300 for two,8.6 km,"Aashiana, Lucknow",Lucknow
Jai Maa Hotel & Restaurant,"North Indian, Chinese, Desserts",-,₹400 for two,4.2 km,"Charbagh, Lucknow",Lucknow
New Purvanchal Bhojnalaya,North Indian,New,₹200 for two,7.2 km,"Gomti Nagar, Lucknow",Lucknow
Vada Highway,Street Food,-,₹200 for two,7.8 km,"Alambagh, Lucknow",Lucknow
Shubhi Dhaba,"North Indian, Chinese",-,₹400 for two,13.5 km,"Rajajipuram, Lucknow",Lucknow
System Chai Center,Tea,-,₹200 for two,4.4 km,"Gomti Nagar, Lucknow",Lucknow
Samosa Chai,"North Indian, Chinese, Mughlai, Rolls, Shake",New,₹500 for two,5.3 km,"Jankipuram, Lucknow",Lucknow
Chai NGO,"Fast Food, Burger, Pizza, Sandwich",-,₹400 for two,7.6 km,"Aashiana, Lucknow",Lucknow
The Burger's.Com,"Burger, Sandwich, Pizza, Chinese, Momos, Fast Food, Shake, Beverages",-,₹450 for two,1.3 km,"Nirala Nagar, Lucknow",Lucknow
Al Baik Fast And Food,"Fast Food, Burger, Beverages",-,₹300 for two,7.9 km,"Chowk, Lucknow",Lucknow
Grill House,"North Indian, Biryani, Chinese",New,₹350 for two,7.6 km,"Gomti Nagar, Lucknow",Lucknow
KDR Exotic Dining,"North Indian, Chinese, Biryani, Fast Food, Pasta, Mughlai",-,₹600 for two,8.9 km,"Aashiana, Lucknow",Lucknow
Bombay Pizza Club,"Pizza, Burger",New,₹200 for two,6.8 km,"Rajajipuram, Lucknow",Lucknow
Prem Ras Restaurant,"Chinese, Pasta, Fast Food",New,₹350 for two,10.1 km,"Aashiana, Lucknow",Lucknow
Bhardwaj Restaurant And Resort,"North Indian, Fast Food",-,₹350 for two,9.3 km,"Kanpur Road, Lucknow",Lucknow
Robot Restaurant - The Yellow House,"North Indian, Chinese",3.9,"₹1,000 for two",2.3 km,"Aliganj, Lucknow",Lucknow
Desi Kalika Chulha,"Lucknowi, Mughlai",-,₹400 for two,10.4 km,"Gomti Nagar, Lucknow",Lucknow
Riddhi Family Restaurant,"North Indian, Fast Food, Street Food, Chinese",-,₹200 for two,4 km,"Aliganj, Lucknow",Lucknow
New Annapurna,"North Indian, Biryani, Chinese, Rolls, Street Food, Beverages",New,₹300 for two,11.2 km,"Transport Nagar, Lucknow",Lucknow
Maa Shakambari Hotel,North Indian,New,₹300 for two,4.3 km,"Charbagh, Lucknow",Lucknow
Spice N Spicy,"Chinese, Momos",-,₹200 for two,2.3 km,"Mahanagar, Lucknow",Lucknow
Padre Restro,"North Indian, Mughlai, Chinese, Fast Food, Beverages",New,₹450 for two,9.5 km,"Aashiana, Lucknow",Lucknow
Shekhu Biryani Corner,"Biryani, North Indian",-,₹200 for two,3.2 km,"Husain Ganj, Lucknow",Lucknow
Brocode Cafe,"Chinese, Fast Food, Street Food, Pizza, Sandwich, Momos, Shake, Beverages",-,₹450 for two,2.2 km,"Aliganj, Lucknow",Lucknow
Marine Drive Cafe,"Chinese, North Indian, South Indian, Fast Food",-,₹450 for two,3.1 km,"Jopling Road, Lucknow",Lucknow
Panjabi Tadka,"South Indian, Fast Food, North Indian, Biryani, Beverages",-,₹300 for two,1.3 km,"Nirala Nagar, Lucknow",Lucknow
Vinci Da Pizza,"Pizza, Fast Food",-,₹400 for two,6 km,"Gomti Nagar, Lucknow",Lucknow
Zafran Handi,"Mughlai, North Indian, Kebab",-,₹600 for two,5.2 km,"Indira Nagar, Lucknow",Lucknow
Mahi Paratha & Burger Point,"Burger, North Indian, Chinese, Wraps, Sandwich",-,₹300 for two,9.5 km,"Alambagh, Lucknow",Lucknow
Annapoorneshwari Dhaba,North Indian,-,₹250 for two,21.5 km,"Aashiana, Lucknow",Lucknow
Transport Dhaba,North Indian,-,₹250 for two,11 km,"Transport Nagar, Lucknow",Lucknow
Dukhiram Family Restaurant,"North Indian, Fast Food",-,₹250 for two,8.8 km,"Gomti Nagar, Lucknow",Lucknow
Corporate Station,"Awadhi, Mughlai, North Indian",-,₹200 for two,8.1 km,"Aashiana, Lucknow",Lucknow
We Eaters,Fast Food,-,₹300 for two,7.1 km,"Jankipuram, Lucknow",Lucknow
Flavourish Bites,"North Indian, Chinese, Biryani",-,₹450 for two,3.5 km,"Indira Nagar, Lucknow",Lucknow
Arora Baker's,"Bakery, Fast Food",-,₹400 for two,12.6 km,"Transport Nagar, Lucknow",Lucknow
Mughal's,Chinese,-,₹500 for two,5.9 km,"Indira Nagar, Lucknow",Lucknow
Spicy Pizza,"Pizza, Fast Food, Street Food, Shake, Beverages",-,₹350 for two,5.3 km,"Aliganj, Lucknow",Lucknow
Shivpura Central Baba Bhog Restaurant,"North Indian, Street Food",-,₹150 for two,24.9 km,"Alambagh, Lucknow",Lucknow
Angeethi Cafe & Family Restaurant,"South Indian, Chinese, Momos, Fast Food, Beverages",New,₹300 for two,7 km,"Madiyanva, Lucknow",Lucknow
Triton Inn,"North Indian, Chinese, Mughlai, Street Food, Fast Food, Desserts",-,₹600 for two,6.9 km,"Gomti Nagar, Lucknow",Lucknow
Shivpura Central Baba Bhog,"North Indian, Street Food, Beverages",-,₹400 for two,24.9 km,"Kanpur Road, Lucknow",Lucknow
Health Cafe,"Bakery, Fast Food, Cake",-,₹400 for two,4.1 km,"Khurram Nagar, Lucknow",Lucknow
MBA Food Wala,"North Indian, Chinese, Fast Food, Street Food",-,₹150 for two,6.7 km,"Gomti Nagar, Lucknow",Lucknow
Hot Box Cafe & Family Restaurant,"Chinese, Pasta, Pizza, Fast Food, Shake, Beverages",New,₹250 for two,9.5 km,"Rajajipuram, Lucknow",Lucknow
Galaxy Restaurent,"North Indian, South Indian, Chinese, Burger",-,₹250 for two,4.2 km,"Aminabad, Lucknow",Lucknow
Esselate's Al-Bake.Com,"Lucknowi, Fast Food",New,₹300 for two,6.5 km,"Jankipuram, Lucknow",Lucknow
Shubharambh Restaurant,"South Indian, Chinese, Fast Food",-,₹400 for two,5.7 km,"Gomti Nagar, Lucknow",Lucknow
Royal Taste,"Momos, Burger",-,₹200 for two,6.4 km,"Mahanagar, Lucknow",Lucknow
Maa Vaishno Bhojnalaya,North Indian,New,₹300 for two,4 km,"Indira Nagar, Lucknow",Lucknow
Cravings Cure Cafe,"Pizza, South Indian, Fast Food, Beverages, Sichuan",-,₹300 for two,4.7 km,"Indira Nagar, Lucknow",Lucknow
Mr. Veggiee,Fast Food,-,₹300 for two,3.3 km,"Khurram Nagar, Lucknow",Lucknow
Chicken Lover's Point,"North Indian, Rolls",-,₹300 for two,7.7 km,"Gomti Nagar, Lucknow",Lucknow
Shivganga Bakers,"Bakery, Desserts",-,₹650 for two,9.9 km,"Transport Nagar, Lucknow",Lucknow
Sahu Bhojanalya,"North Indian, Desserts",New,₹250 for two,6.7 km,"Gomti Nagar, Lucknow",Lucknow
Ma Vaishnavi Fast Food Center,Fast Food,New,₹200 for two,6.5 km,"Rajajipuram, Lucknow",Lucknow
New Aafaan - Made By Aafaan,"North Indian, Chinese, Mughlai",-,₹400 for two,4.7 km,"Indira Nagar, Lucknow",Lucknow
Bella Ciao Cafe,"Fast Food, Street Food, Bakery, Beverages",New,₹300 for two,2.1 km,"Aliganj, Lucknow",Lucknow
Kohinoor Restaurant,North Indian,-,₹350 for two,4.6 km,"Aishbagh, Lucknow",Lucknow
Kitchen Number 203,"Fast Food, Street Food, Momos, Beverages",-,₹350 for two,12.1 km,"Aashiana, Lucknow",Lucknow
Narayan Bhog Family Restaurant,"Fast Food, Pizza, Momos, Street Food, Beverages",New,₹350 for two,8 km,"Rajajipuram, Lucknow",Lucknow
Food Hub,"Chinese, Street Food",New,₹350 for two,4.5 km,"Aishbagh, Lucknow",Lucknow
Maa Chandrika Canteen,North Indian,-,₹250 for two,8.1 km,"Jankipuram, Lucknow",Lucknow
One Step Restaurant And Lounge,"Chinese, North Indian, Beverages",-,₹400 for two,10.8 km,"Gomti Nagar, Lucknow",Lucknow
Students Break Point,"Chinese, Street Food, Fast Food",-,₹300 for two,6.2 km,"Aliganj, Lucknow",Lucknow
Sudheer Dhaba,"North Indian, Chinese",-,₹300 for two,11.5 km,"Jankipuram, Lucknow",Lucknow
Kitchen Omega,"North Indian, Biryani, Mughlai",-,₹400 for two,4.5 km,"Indira Nagar, Lucknow",Lucknow
Manoj Eating Point,"Chinese, North Indian, Fast Food",-,₹550 for two,4.2 km,"Nirala Nagar, Lucknow",Lucknow
The Spicy Table Restaurant,North Indian,-,₹200 for two,11.1 km,"Gomti Nagar, Lucknow",Lucknow
Sindh Bakery,Bakery,-,₹400 for two,11.5 km,"Aashiana, Lucknow",Lucknow
Best Chef Point,"North Indian, Chinese, South Indian, Momos, Street Food",-,₹300 for two,8.4 km,"Gomti Nagar, Lucknow",Lucknow
Gupta Tea Stall,"Tea, North Indian",-,₹200 for two,6.7 km,"Alambagh, Lucknow",Lucknow
Apna Kitchen,North Indian,-,₹300 for two,3.9 km,"Gomti Nagar, Lucknow",Lucknow
Italian Noodles,"North Indian, Fast Food, Momos, Pizza, Chinese, Beverages",-,₹300 for two,4.2 km,"Khurram Nagar, Lucknow",Lucknow
Lucknowi Zaika,"Lucknowi, North Indian, Mughlai",New,₹550 for two,13.2 km,"Rajajipuram, Lucknow",Lucknow
The Mughal's Al-baik,"North Indian, Mughlai",-,₹700 for two,4.7 km,"Indira Nagar, Lucknow",Lucknow
Chinese Food Factory,"Chinese, Fast Food",-,₹200 for two,7.9 km,"Aashiana, Lucknow",Lucknow
